MARCA ,TEMPORADA ,PROVEEDOR,CATEGORIA ,INFO GRAL.,CODIGO EAN ,DESCRIPCIÓN ,COLOR/WASH,CANTIDAD,ORIGEN,COSTO ESTIMADO ,PVP SUGERIDO B2C,PVP SUGERIDO B2B,MARGEN B2C,MARGEN B2B,FECHA APROXIMADA DE ARRIBO
Martel ,FW26,TIMEKOL,Pantalón ,,,Pantalón Slim fit c/ media goma ,Negro,400,Bangladesh ,$15.96,"345,001  ","241,501",69%,54%,3/20/2026
Martel ,FW26,TIMEKOL,Pantalón ,,,Pantalón Slim fit c/ media goma ,Azul Marino ,400,Bangladesh ,$15.96,"345,002  ","241,501",69%,54%,3/20/2026
Martel ,FW26,TIMEKOL,Abrigo ,,,Campera bómber de Nylon ,Negro ,200,China,$23.66,"439,000  ","307,300",63%,46%,3/20/2026
Martel ,FW26,TIMEKOL,Abrigo ,,,Campera bómber de Nylon ,Verde Oliva ,200,China,$23.66,"439,000  ","307,300",63%,46%,3/20/2026
Martel ,FW26,TIMEKOL,Abrigo ,,,Campera bómber suede,Tostado ,200,China,$23.38,"489,000  ","342,300",67%,52%,3/20/2026
Martel ,FW26,TIMEKOL,Abrigo ,,,Campera bómber suede,Gris ,200,China,$23.38,"489,000  ","342,300",67%,52%,3/20/2026
Wrangler ,SS26/27,AGI,Chaleco ,,,Country Estate Vest,Pale denim ,32,Pakistan ,$16.07,"339,000  ","237,300",68%,53%,3/20/2026
Wrangler ,SS26/27,AGI,Short ,,,Countri Estate Short,Pale denim ,32,Pakistan ,$11.73,"245,000  ","171,500",67%,52%,3/20/2026
Martel ,FW26,CAPRERA ,Abrigo ,,,Tapado clásico ,Negro,100,China ,$39.90,"859,000  ","601,300",68%,54%,Abril
Martel ,FW26,CAPRERA ,Abrigo ,,,Tapado clásico ,Gris,100,China ,$39.90,"859,000  ","601,300",68%,54%,Abril
Martel ,FW26,CAPRERA ,Abrigo ,,,Tapado clásico ,Azul medio ,100,China ,$39.90,"859,000  ","601,300",68%,54%,Abril
Martel ,FW26,CAPRERA ,Saco ,,,Blazer Regular,Gris,100,China ,$36.40,"765,000  ","535,500",68%,52%,Abril
Martel ,FW26,CAPRERA ,Saco ,,,Blazer Regular,Marrón,100,China ,$36.40,"765,000  ","535,500",68%,52%,Abril
Martel ,FW26,CAPRERA ,Saco ,,,Blazer Regular,Azul Marino ,100,China ,$36.40,"765,000  ","535,500",68%,52%,Abril
Martel ,FW26,CAPRERA ,Saco ,,,Blazer Slim,Gris,100,China ,$33.60,"579,000  ","405,300",61%,42%,Abril
Martel ,FW26,CAPRERA ,Saco ,,,Blazer Slim,Negro,100,China ,$33.60,"579,000  ","405,300",61%,42%,Abril
Martel ,FW26,CAPRERA ,Saco ,,,Blazer Slim,Azul Marino ,100,China ,$33.60,"579,000  ","405,300",61%,42%,Abril
Martel ,FW26,CAPRERA ,Pantalón,,,Pantalón Slim Fit ,Negro,150,China ,$14.00,"269,000  ","188,300",65%,48%,Abril
Martel ,FW26,CAPRERA ,Pantalón,,,Pantalón Slim Fit ,Azul Marino ,150,China ,$14.00,"269,000  ","188,300",65%,48%,Abril
Martel ,FW26,FLOW TRADER ,Abrigo ,,,Campera Puffer ,Negro,100,China ,$12.60,"289,000  ","202,300",70%,56%,Abril
Martel ,FW26,FLOW TRADER ,Abrigo ,,,Campera Puffer ,Azul marino ,100,China ,$12.60,"289,000  ","202,300",70%,56%,Abril
Martel ,FW26,FLOW TRADER ,Abrigo ,,,Campera Puffer ,Verde Oliva ,100,China ,$12.60,"289,000  ","202,300",70%,56%,Abril
Martel ,FW26,FLOW TRADER ,Abrigo ,,,Campera leñador ,Marrón ,80,China ,$42.00,"879,000  ","615,300",68%,52%,Abril
Martel ,FW26,LA MARTINGALA ,Abrigo ,,,Campera clásica ,Beige,300,China ,$25.76,"539,000  ","377,300",68%,52%,Abril
Martel ,FW26,LA MARTINGALA ,Abrigo ,,,Campera clásica ,Azul Marino ,300,China ,$25.76,"539,000  ","377,300",68%,52%,Abril
Martel ,FW26,LA MARTINGALA ,Abrigo ,,,Campera clásica ,Negro ,300,China ,$25.76,"539,000  ","377,300",68%,52%,Abril
Martel ,FW26,LA MARTINGALA ,Sweater ,,,Cárdigan c/ cierre,Negro,250,China ,$12.46,"259,000  ","181,300",67%,52%,Abril
Martel ,FW26,LA MARTINGALA ,Sweater ,,,Cárdigan c/ cierre,Gris ,250,China ,$12.46,"259,000  ","181,300",67%,52%,Abril
Martel ,FW26,LA MARTINGALA ,Abrigo ,,,Campera c/ botones ,Azul,150,China ,$37.80,"759,000  ","531,300",66%,50%,Abril
Martel ,FW26,LA MARTINGALA ,Abrigo ,,,Campera c/ botones ,Negro,150,China ,$37.80,"759,000  ","531,300",66%,50%,Abril
Martel ,FW26,LA MARTINGALA ,Abrigo ,,,Trench clásico ,Azul marino ,150,China ,$51.66,"879,000  ","615,300",60%,41%,Abril
Martel ,FW26,LA MARTINGALA ,Abrigo ,,,Trench clásico ,Beige ,150,China ,$51.66,"879,000  ","615,300",60%,41%,Abril
Wrangler ,SS26/27,BDC,Bermuda,,,Low Rise Jort ,Stormy dust ,124,Bangladesh ,$11.49,"245,000  ","171,500",68%,53%,Abril
Wrangler ,SS26/27,Cotton Club,Remera ,,,Ringer Tee ,Worn White ,122,Bangladesh ,$6.55,"139,000  ","97,300",68%,53%,Abril
